PREDDEG,CONTROL,LOCALE,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,PPTUG_EF,INEXPFTE,AVGFACSAL,PCTPELL,PCTFLOAN,CDR2,PAR_ED_PCT_PS,GRAD_DEBT_MDN,MD_FAMINC,MD_EARN_WNE_P6,MD_EARN_WNE_P8,COST
3.0,1.0,43.0,2424.0,0.4439,0.37,0.0297,0.0017,0.0095,0.0,0.2162,7680.0,6914.0,0.4556,0.503,0.064,0.596789424,24944.0,25552.5,34703.0,39261.0,22456.0
2.0,1.0,41.0,1111.0,0.6841,0.2439,0.0243,0.0072,0.0027,0.0,0.3294,5428.0,6977.0,0.375,0.0,0.0,0.4796573876,10507.865500438558,18213.0,26614.0,27726.0,10125.0
2.0,1.0,43.0,320.0,0.6031,0.2125,0.0813,0.0219,0.0063,0.0063,0.0,5028.0,7009.0,0.4076,0.3631,0.138,0.7661971831,9250.0,38434.0,48940.0,48898.0,18368.0
3.0,2.0,21.0,1257.0,0.0318,0.9507,0.0064,0.0,0.0,0.0,0.0453,4405.0,5200.0,0.7447,0.7428,0.219,0.5835411471,31217.0,17702.5,26675.0,28691.0,22653.0
3.0,2.0,41.0,1108.0,0.6363,0.1625,0.019,0.0135,0.0262,0.0036,0.0487,8085.0,5603.0,0.283,0.4541,0.024,0.6757142857,26500.0,39700.0,36729.0,38069.0,37908.0
3.0,1.0,21.0,2128.0,0.6584,0.1706,0.071,0.0038,0.0033,0.0014,0.078,11337.0,8552.0,0.4167,0.5255,0.071,0.6747624076,24000.0,43813.0,34038.0,36897.0,26185.0
1.0,1.0,13.0,2026.0,0.7414,0.1032,0.0948,0.0059,0.0059,0.002,0.5558,6235.0,6836.0,0.3278,0.1543,0.188,0.4858882125,10000.0,21195.0,27997.0,28556.0,10919.0
3.0,1.0,13.0,5408.0,0.7258,0.1023,0.0459,0.0139,0.0052,0.0013,0.149,8349.0,8707.0,0.2919,0.3626,0.101,0.63673976,22077.0,39436.0,37535.0,39060.0,21621.0
1.0,1.0,42.0,1565.0,0.7086,0.0192,0.1687,0.0045,0.016,0.0,0.4518,5933.0,6859.0,0.3921,0.1278,0.171,0.4172240803,6100.0,22763.0,28704.0,31093.0,9660.0
3.0,2.0,12.0,1378.0,0.0094,0.7438,0.0943,0.0007,0.0022,0.0,0.053,8281.0,4842.0,0.4896,0.6463,0.077,0.82376502,27000.0,36829.0,29463.0,35400.0,38377.0
1.0,1.0,41.0,281.0,0.3203,0.6299,0.0,0.0107,0.0107,0.0,0.3488,9043.0,7171.0,0.5294,0.0,0.0,0.4096774194,9548.968681493956,14034.0,22880.0,26495.0,11482.0
1.0,1.0,12.0,1943.0,0.2337,0.667,0.0247,0.0139,0.0067,0.0015,0.4977,6691.0,7206.0,0.4942,0.0,0.0,0.5146022155,9962.254396201473,14536.5,23566.0,25745.0,11616.0
